pmcid,outcome,intervention,comparator,outcome_type,intervention_events,intervention_group_size,comparator_events,comparator_group_size,intervention_mean,intervention_standard_deviation,comparator_mean,comparator_standard_deviation,intervention_rate,comparator_rate,source_file
4450164,ureteropelvic junction obstruction,internal drainage group,stentless cases,binary,0.0,30.0,1.0,52.0,,,,,,,4450164_zeroshot.jsonl
5244530,remission rate,person-centred general practitioners (GP) consultations,treatment as usual (TAU),binary,61.0,125.0,63.0,133.0,,,,,,,5244530_zeroshot.jsonl
5244530,sedative prescriptions,person-centred general practitioners (GP) consultations,treatment as usual (TAU),binary,52.0,125.0,51.0,133.0,,,,,,,5244530_zeroshot.jsonl
5244530,sick leave,person-centred general practitioners (GP) consultations,treatment as usual (TAU),continuous,,125.0,,133.0,124.0,103.0,123.0,85.0,,,5244530_zeroshot.jsonl
5244530,continued antidepressants until the 6-month,person-centred general practitioners (GP) consultations,treatment as usual (TAU),binary,86.0,125.0,78.0,133.0,,,,,,,5244530_zeroshot.jsonl
5244530,depression severity reduction 12 months,person-centred general practitioners (GP) consultations,treatment as usual (TAU),continuous,,,,,,,,,,,5244530_zeroshot.jsonl
5244530,change in quality of life 12 months,person-centred general practitioners (GP) consultations,treatment as usual (TAU),continuous,,,,,,,,,,,5244530_zeroshot.jsonl
5244530,psychological well-being,person-centred general practitioners (GP) consultations,treatment as usual (TAU),continuous,,,,,,,,,,,5244530_zeroshot.jsonl
5498715,Scores of external regulation,Motivational interviewing through self-determination theory sessions,Standard education session,continuous,,30.0,,30.0,0.0,1.0,1.0,1.0,,,5498715_zeroshot.jsonl
5498715,Scores of amotivation,Motivational interviewing through self-determination theory sessions,Standard education session,continuous,,30.0,,30.0,0.0,0.0,1.0,1.0,,,5498715_zeroshot.jsonl
5498715,Body mass index,Motivational interviewing through self-determination theory sessions,Standard education session,continuous,,30.0,,30.0,25.0,3.0,27.0,4.0,,,5498715_zeroshot.jsonl
5498715,Sedentary behavior,Motivational interviewing through self-determination theory sessions,Standard education session,continuous,,30.0,,30.0,4.0,2.0,6.0,2.0,,,5498715_zeroshot.jsonl
5498715,agility test,Motivational interviewing through self-determination theory sessions,Standard education session,continuous,,30.0,,30.0,13.0,1.0,14.0,1.0,,,5498715_zeroshot.jsonl
5498715,Physical activity,Motivational interviewing through self-determination theory sessions,Standard education session,continuous,,30.0,,30.0,854.0,272.0,470.0,80.0,,,5498715_zeroshot.jsonl
5498715,physical fitness - flexibility,Motivational interviewing through self-determination theory sessions,Standard education session,continuous,,30.0,,30.0,36.0,6.0,27.0,5.0,,,5498715_zeroshot.jsonl
5498715,physical fitness - muscular endurance,Motivational interviewing through self-determination theory sessions,Standard education session,continuous,,30.0,,30.0,18.0,3.0,12.0,3.0,,,5498715_zeroshot.jsonl
5498715,physical fitness - agility,Motivational interviewing through self-determination theory sessions,Standard education session,continuous,,30.0,,30.0,13.0,1.0,14.0,1.0,,,5498715_zeroshot.jsonl
5498715,physical fitness - cardiorespiratory endurance,Motivational interviewing through self-determination theory sessions,Standard education session,continuous,,30.0,,30.0,39.0,3.0,38.0,2.0,,,5498715_zeroshot.jsonl
5498715,Scores of intrinsic motivation,Motivational interviewing through self-determination theory sessions,Standard education session,continuous,,30.0,,30.0,14.0,2.0,6.0,2.0,,,5498715_zeroshot.jsonl
5498715,Scores of perception of competence,Motivational interviewing through self-determination theory sessions,Standard education session,continuous,,30.0,,30.0,17.0,3.0,14.0,4.0,,,5498715_zeroshot.jsonl
5498715,Scores of perception of autonomy,Motivational interviewing through self-determination theory sessions,Standard education session,continuous,,30.0,,30.0,30.0,3.0,20.0,5.0,,,5498715_zeroshot.jsonl
5498715,Scores of enjoyment,Motivational interviewing through self-determination theory sessions,Standard education session,continuous,,30.0,,30.0,30.0,4.0,25.0,5.0,,,5498715_zeroshot.jsonl
5498715,Scores of health care climate,Motivational interviewing through self-determination theory sessions,Standard education session,continuous,,30.0,,30.0,83.0,1.0,70.0,2.0,,,5498715_zeroshot.jsonl
5771543,CGI-I response rate,fluoxetine,placebo,binary,79.0,101.0,62.0,99.0,,,,,,,5771543_zeroshot.jsonl
5771543,CGI-I response rate,desvenlafaxine,placebo,binary,68.0,99.0,62.0,99.0,,,,,,,5771543_zeroshot.jsonl
5771543,Treatment-emergent adverse events (TEAEs),desvenlafaxine,placebo,binary,69.0,115.0,79.0,112.0,,,,,,,5771543_zeroshot.jsonl
5771543,Treatment-emergent adverse events (TEAEs),fluoxetine,placebo,binary,72.0,112.0,79.0,112.0,,,,,,,5771543_zeroshot.jsonl
57750,Death or myocardial infarction,eptifibatide,placebo,binary,,,,,,,,,,,57750_zeroshot.jsonl
57750,Myocardial infarction,eptifibatide,placebo,binary,,,,,,,,,,,57750_zeroshot.jsonl
