"","pmcid","intervention","comparator","outcome","outcome_type","is_data_in_figure_graphics","field","gold","from_gold","pred","from_pred","category"
"46",2836833,"1500 mg calcium","500 mg calcium","Fecal fat loss","continuous",FALSE,"comparator_group_size",17,TRUE,34,TRUE,"FN"
"47",2836833,"1500 mg calcium","500 mg calcium","Fecal fat loss","continuous",FALSE,"intervention_group_size",17,TRUE,34,TRUE,"FN"
"48",2836833,"1500 mg calcium","500 mg calcium","Urinary calcium excretion","continuous",TRUE,"comparator_group_size",17,TRUE,34,TRUE,"FN"
"49",2836833,"1500 mg calcium","500 mg calcium","Urinary calcium excretion","continuous",TRUE,"intervention_group_size",17,TRUE,34,TRUE,"FN"
"50",2836833,"1500 mg calcium","500 mg calcium","systolic or diastolic blood pressure","continuous",FALSE,"comparator_group_size",17,TRUE,NA,TRUE,"FN"
"51",2836833,"1500 mg calcium","500 mg calcium","systolic or diastolic blood pressure","continuous",FALSE,"intervention_group_size",17,TRUE,NA,TRUE,"FN"
"52",2836833,"1500 mg calcium","500 mg calcium","weight loss","continuous",FALSE,"comparator_group_size",17,TRUE,NA,TRUE,"FN"
"53",2836833,"1500 mg calcium","500 mg calcium","weight loss","continuous",FALSE,"intervention_group_size",17,TRUE,NA,TRUE,"FN"
"54",2952311,"Acupressure at distal points","Acupressure at local points","Salivary alpha-amylase","continuous",TRUE,"comparator_mean",NA,TRUE,20,TRUE,"FP"
"55",2952311,"Acupressure at distal points","Acupressure at local points","Salivary alpha-amylase","continuous",TRUE,"comparator_standard_deviation",NA,TRUE,9,TRUE,"FP"
"56",2952311,"Acupressure at distal points","Acupressure at local points","Salivary alpha-amylase","continuous",TRUE,"intervention_mean",NA,TRUE,36.8,TRUE,"FP"
"57",2952311,"Acupressure at distal points","Acupressure at local points","Salivary alpha-amylase","continuous",TRUE,"intervention_standard_deviation",NA,TRUE,27.9,TRUE,"FP"
"58",2952311,"Acupressure at distal points","Control","State-Trait Anxiety Inventory-I","continuous",TRUE,"comparator_mean",40,TRUE,39.2,TRUE,"FN"
"59",2952311,"Acupressure at distal points","Control","State-Trait Anxiety Inventory-I","continuous",TRUE,"comparator_standard_deviation",NA,TRUE,9.5,TRUE,"FP"
"60",2952311,"Acupressure at distal points","Control","State-Trait Anxiety Inventory-I","continuous",TRUE,"intervention_mean",42.5,TRUE,43.2,TRUE,"FN"
"61",2952311,"Acupressure at distal points","Control","State-Trait Anxiety Inventory-I","continuous",TRUE,"intervention_standard_deviation",NA,TRUE,6.8,TRUE,"FP"
"62",2952311,"Acupressure at distal points","Control","Verbal rating scale pain intensity","continuous",TRUE,"comparator_mean",1.6,TRUE,1.8,TRUE,"FN"
"63",2952311,"Acupressure at distal points","Control","Verbal rating scale pain intensity","continuous",TRUE,"comparator_standard_deviation",NA,TRUE,0.6,TRUE,"FP"
"64",2952311,"Acupressure at distal points","Control","Verbal rating scale pain intensity","continuous",TRUE,"intervention_mean",1,TRUE,1.7,TRUE,"FN"
"65",2952311,"Acupressure at distal points","Control","Verbal rating scale pain intensity","continuous",TRUE,"intervention_standard_deviation",NA,TRUE,0.8,TRUE,"FP"
"66",2952311,"Acupressure at local points","Control","Muscle hardness","continuous",TRUE,"comparator_mean",57,TRUE,56.9,TRUE,"FN"
"67",2952311,"Acupressure at local points","Control","Muscle hardness","continuous",TRUE,"comparator_standard_deviation",NA,TRUE,5,TRUE,"FP"
"68",2952311,"Acupressure at local points","Control","Muscle hardness","continuous",TRUE,"intervention_mean",55,TRUE,57.4,TRUE,"FN"
"69",2952311,"Acupressure at local points","Control","Muscle hardness","continuous",TRUE,"intervention_standard_deviation",NA,TRUE,4.5,TRUE,"FP"
"70",2952311,"Acupressure at local points","Control","State-Trait Anxiety Inventory-I","continuous",TRUE,"comparator_mean",40,TRUE,39.2,TRUE,"FN"
"71",2952311,"Acupressure at local points","Control","State-Trait Anxiety Inventory-I","continuous",TRUE,"comparator_standard_deviation",NA,TRUE,9.5,TRUE,"FP"
"72",2952311,"Acupressure at local points","Control","State-Trait Anxiety Inventory-I","continuous",TRUE,"intervention_mean",41,TRUE,44.5,TRUE,"FN"
"73",2952311,"Acupressure at local points","Control","State-Trait Anxiety Inventory-I","continuous",TRUE,"intervention_standard_deviation",NA,TRUE,8,TRUE,"FP"
"74",2952311,"Acupressure at local points","Control","Verbal rating scale pain intensity","continuous",TRUE,"comparator_mean",1.6,TRUE,1.8,TRUE,"FN"
"75",2952311,"Acupressure at local points","Control","Verbal rating scale pain intensity","continuous",TRUE,"comparator_standard_deviation",NA,TRUE,0.6,TRUE,"FP"
"76",2952311,"Acupressure at local points","Control","Verbal rating scale pain intensity","continuous",TRUE,"intervention_mean",1.4,TRUE,2.1,TRUE,"FN"
"77",2952311,"Acupressure at local points","Control","Verbal rating scale pain intensity","continuous",TRUE,"intervention_standard_deviation",NA,TRUE,0.5,TRUE,"FP"
"78",2972614,"Laser therapy (Group I)","Placebo laser therapy (Group II)","Laboratory parameters","continuous",FALSE,"comparator_group_size",22,TRUE,NA,TRUE,"FN"
"79",2972614,"Laser therapy (Group I)","Placebo laser therapy (Group II)","Laboratory parameters","continuous",FALSE,"intervention_group_size",30,TRUE,NA,TRUE,"FN"
"80",2972614,"Laser therapy (Group I)","Placebo laser therapy (Group II)","Shoulder Pain and Disability Index score","continuous",FALSE,"comparator_mean",40.99,TRUE,36.39,TRUE,"FN"
"81",2972614,"Laser therapy (Group I)","Placebo laser therapy (Group II)","Shoulder Pain and Disability Index score","continuous",FALSE,"comparator_standard_deviation",20.98,TRUE,20.53,TRUE,"FN"
"82",2972614,"Laser therapy (Group I)","Placebo laser therapy (Group II)","Shoulder Pain and Disability Index score","continuous",FALSE,"intervention_mean",48.13,TRUE,44.33,TRUE,"FN"
"83",2972614,"Laser therapy (Group I)","Placebo laser therapy (Group II)","Shoulder Pain and Disability Index score","continuous",FALSE,"intervention_standard_deviation",22.1,TRUE,2.8,TRUE,"FN"
"84",2974815,"""phone calls"" group","""no phone calls"" group","percentage of patients with controlled blood pressure","binary",FALSE,"comparator_events",175,TRUE,NA,TRUE,"FN"
"85",2974815,"""phone calls"" group","""no phone calls"" group","percentage of patients with controlled blood pressure","binary",FALSE,"intervention_events",86,TRUE,NA,TRUE,"FN"
"86",3003523,"Certolizumab 200 mg","Control","Fatigue Assessment Scale improvement","continuous",TRUE,"comparator_mean",NA,TRUE,-0.8,TRUE,"FP"
"87",3003523,"Certolizumab 200 mg","Control","Fatigue Assessment Scale improvement","continuous",TRUE,"intervention_mean",NA,TRUE,-2.6,TRUE,"FP"
"88",3003523,"Certolizumab 200 mg","Control","Health-related quality of life improvement - Short-Form 36-Items improvement","continuous",FALSE,"comparator_mean",31.5,TRUE,1.7,TRUE,"FN"
"89",3003523,"Certolizumab 200 mg","Control","Health-related quality of life improvement - Short-Form 36-Items improvement","continuous",FALSE,"comparator_standard_deviation",7.4,TRUE,NA,TRUE,"FN"
"90",3003523,"Certolizumab 200 mg","Control","Health-related quality of life improvement - Short-Form 36-Items improvement","continuous",FALSE,"intervention_mean",38.1,TRUE,7.8,TRUE,"FN"
"91",3003523,"Certolizumab 200 mg","Control","Health-related quality of life improvement - Short-Form 36-Items improvement","continuous",FALSE,"intervention_standard_deviation",9.5,TRUE,NA,TRUE,"FN"
"92",3003523,"Certolizumab 200 mg","Control","Short-Form 36-Items improvement","continuous",FALSE,"comparator_mean",31.5,TRUE,1.7,TRUE,"FN"
"93",3003523,"Certolizumab 200 mg","Control","Short-Form 36-Items improvement","continuous",FALSE,"comparator_standard_deviation",7.4,TRUE,NA,TRUE,"FN"
"94",3003523,"Certolizumab 200 mg","Control","Short-Form 36-Items improvement","continuous",FALSE,"intervention_mean",38.1,TRUE,7.8,TRUE,"FN"
"95",3003523,"Certolizumab 200 mg","Control","Short-Form 36-Items improvement","continuous",FALSE,"intervention_standard_deviation",9.5,TRUE,NA,TRUE,"FN"
"96",3003523,"Certolizumab 400 mg","Control","Mental Component Summary improvement","continuous",FALSE,"comparator_mean",41.1,TRUE,2.1,TRUE,"FN"
"97",3003523,"Certolizumab 400 mg","Control","Mental Component Summary improvement","continuous",FALSE,"comparator_standard_deviation",10.8,TRUE,NA,TRUE,"FN"
"98",3003523,"Certolizumab 400 mg","Control","Mental Component Summary improvement","continuous",FALSE,"intervention_mean",45.4,TRUE,6.4,TRUE,"FN"
"99",3003523,"Certolizumab 400 mg","Control","Mental Component Summary improvement","continuous",FALSE,"intervention_standard_deviation",11.5,TRUE,NA,TRUE,"FN"
"100",3003523,"Certolizumab 400 mg","Control","Pain","continuous",FALSE,"comparator_mean",34,TRUE,NA,TRUE,"FN"
"101",3003523,"Certolizumab 400 mg","Control","Pain","continuous",FALSE,"comparator_standard_deviation",20.1,TRUE,NA,TRUE,"FN"
"102",3003523,"Certolizumab 400 mg","Control","Pain","continuous",FALSE,"intervention_mean",53.9,TRUE,NA,TRUE,"FN"
"103",3003523,"Certolizumab 400 mg","Control","Pain","continuous",FALSE,"intervention_standard_deviation",22.2,TRUE,NA,TRUE,"FN"
"104",3003523,"Certolizumab 400 mg","Control","Short-Form 36-Items improvement","continuous",FALSE,"comparator_mean",31.5,TRUE,1.7,TRUE,"FN"
"105",3003523,"Certolizumab 400 mg","Control","Short-Form 36-Items improvement","continuous",FALSE,"comparator_standard_deviation",7.4,TRUE,NA,TRUE,"FN"
"106",3003523,"Certolizumab 400 mg","Control","Short-Form 36-Items improvement","continuous",FALSE,"intervention_mean",38.9,TRUE,8.6,TRUE,"FN"
"107",3003523,"Certolizumab 400 mg","Control","Short-Form 36-Items improvement","continuous",FALSE,"intervention_standard_deviation",8.9,TRUE,NA,TRUE,"FN"
"108",3136370,"Soy shake","Casein shake (Placebo)","Center for Epidemiologic Studies Depression Scale score","continuous",FALSE,"comparator_group_size",16,TRUE,25,TRUE,"FN"
"109",3136370,"Soy shake","Casein shake (Placebo)","Center for Epidemiologic Studies Depression Scale score","continuous",FALSE,"comparator_mean",-8,TRUE,NA,TRUE,"FN"
"110",3136370,"Soy shake","Casein shake (Placebo)","Center for Epidemiologic Studies Depression Scale score","continuous",FALSE,"comparator_standard_deviation",65.41,TRUE,NA,TRUE,"FN"
"111",3136370,"Soy shake","Casein shake (Placebo)","Center for Epidemiologic Studies Depression Scale score","continuous",FALSE,"intervention_group_size",12,TRUE,25,TRUE,"FN"
"112",3136370,"Soy shake","Casein shake (Placebo)","Center for Epidemiologic Studies Depression Scale score","continuous",FALSE,"intervention_mean",-4,TRUE,NA,TRUE,"FN"
"113",3136370,"Soy shake","Casein shake (Placebo)","Center for Epidemiologic Studies Depression Scale score","continuous",FALSE,"intervention_standard_deviation",12.35,TRUE,NA,TRUE,"FN"
"114",3136370,"Soy shake","Casein shake (Placebo)","Fibromyalgia Impact Questionnaire scores","continuous",FALSE,"comparator_group_size",16,TRUE,25,TRUE,"FN"
"115",3136370,"Soy shake","Casein shake (Placebo)","Fibromyalgia Impact Questionnaire scores","continuous",FALSE,"comparator_mean",-19.57,TRUE,NA,TRUE,"FN"
"116",3136370,"Soy shake","Casein shake (Placebo)","Fibromyalgia Impact Questionnaire scores","continuous",FALSE,"comparator_standard_deviation",93.53,TRUE,NA,TRUE,"FN"
"117",3136370,"Soy shake","Casein shake (Placebo)","Fibromyalgia Impact Questionnaire scores","continuous",FALSE,"intervention_group_size",12,TRUE,25,TRUE,"FN"
"118",3136370,"Soy shake","Casein shake (Placebo)","Fibromyalgia Impact Questionnaire scores","continuous",FALSE,"intervention_mean",-17.1,TRUE,NA,TRUE,"FN"
"119",3136370,"Soy shake","Casein shake (Placebo)","Fibromyalgia Impact Questionnaire scores","continuous",FALSE,"intervention_standard_deviation",68.08,TRUE,NA,TRUE,"FN"
"120",3136370,"Soy shake","Control","Center for Epidemiologic Studies Depression Scale score","continuous",FALSE,"comparator_group_size",16,TRUE,NA,TRUE,"FN"
"121",3136370,"Soy shake","Control","Center for Epidemiologic Studies Depression Scale score","continuous",FALSE,"comparator_mean",-8,TRUE,NA,TRUE,"FN"
"122",3136370,"Soy shake","Control","Center for Epidemiologic Studies Depression Scale score","continuous",FALSE,"comparator_standard_deviation",65.41,TRUE,NA,TRUE,"FN"
"123",3136370,"Soy shake","Control","Center for Epidemiologic Studies Depression Scale score","continuous",FALSE,"intervention_group_size",12,TRUE,NA,TRUE,"FN"
"124",3136370,"Soy shake","Control","Center for Epidemiologic Studies Depression Scale score","continuous",FALSE,"intervention_mean",-4,TRUE,NA,TRUE,"FN"
"125",3136370,"Soy shake","Control","Center for Epidemiologic Studies Depression Scale score","continuous",FALSE,"intervention_standard_deviation",12.35,TRUE,NA,TRUE,"FN"
"126",3136370,"Soy shake","Control","Fibromyalgia Impact Questionnaire scores","continuous",FALSE,"comparator_group_size",16,TRUE,NA,TRUE,"FN"
"127",3136370,"Soy shake","Control","Fibromyalgia Impact Questionnaire scores","continuous",FALSE,"comparator_mean",-19.57,TRUE,NA,TRUE,"FN"
"128",3136370,"Soy shake","Control","Fibromyalgia Impact Questionnaire scores","continuous",FALSE,"comparator_standard_deviation",93.53,TRUE,NA,TRUE,"FN"
"129",3136370,"Soy shake","Control","Fibromyalgia Impact Questionnaire scores","continuous",FALSE,"intervention_group_size",12,TRUE,NA,TRUE,"FN"
"130",3136370,"Soy shake","Control","Fibromyalgia Impact Questionnaire scores","continuous",FALSE,"intervention_mean",-17.1,TRUE,NA,TRUE,"FN"
"131",3136370,"Soy shake","Control","Fibromyalgia Impact Questionnaire scores","continuous",FALSE,"intervention_standard_deviation",68.08,TRUE,NA,TRUE,"FN"
"132",3169777,"macitentan dose of 600 mg","placebo","Plasma endothelin-1 concentrations","continuous",TRUE,"comparator_group_size",14,TRUE,NA,TRUE,"FN"
"133",3169777,"macitentan dose of 600 mg","placebo","Plasma endothelin-1 concentrations","continuous",TRUE,"comparator_mean",60,TRUE,NA,TRUE,"FN"
"134",3169777,"macitentan dose of 600 mg","placebo","Plasma endothelin-1 concentrations","continuous",TRUE,"comparator_standard_deviation",12,TRUE,NA,TRUE,"FN"
"135",3169777,"macitentan dose of 600 mg","placebo","Plasma endothelin-1 concentrations","continuous",TRUE,"intervention_group_size",6,TRUE,NA,TRUE,"FN"
"136",3169777,"macitentan dose of 600 mg","placebo","Plasma endothelin-1 concentrations","continuous",TRUE,"intervention_mean",149,TRUE,NA,TRUE,"FN"
"137",3169777,"macitentan dose of 600 mg","placebo","Plasma endothelin-1 concentrations","continuous",TRUE,"intervention_standard_deviation",51,TRUE,NA,TRUE,"FN"
"138",3195393,"After restraint reduction program","Before restraint reduction program","Restraint frecuency","continuous",FALSE,"comparator_standard_deviation",0.13,TRUE,NA,TRUE,"FN"
"139",3195393,"After restraint reduction program","Before restraint reduction program","Restraint frecuency","continuous",FALSE,"intervention_standard_deviation",0.07,TRUE,NA,TRUE,"FN"
"140",3195393,"After restraint reduction program","Before restraint reduction program","Restraint knowledge","continuous",FALSE,"comparator_group_size",463,TRUE,NA,TRUE,"FN"
"141",3195393,"After restraint reduction program","Before restraint reduction program","Restraint knowledge","continuous",FALSE,"intervention_group_size",562,TRUE,NA,TRUE,"FN"
"142",3214395,"group 1 included bispectral index (BIS) of 60, group 2 covered bispectral index (BIS) of 45","group 3 involved bispectral index (BIS) of 35","laryngoscopy duration","continuous",FALSE,"intervention_mean",NA,TRUE,7.4,TRUE,"FP"
"143",3214395,"group 1 included bispectral index (BIS) of 60, group 2 covered bispectral index (BIS) of 45","group 3 involved bispectral index (BIS) of 35","laryngoscopy duration","continuous",FALSE,"intervention_standard_deviation",NA,TRUE,1.095,TRUE,"FP"
"144",3214395,"group 1 included bispectral index (BIS) of 60, group 2 covered bispectral index (BIS) of 48","group 3 involved bispectral index (BIS) of 38","laryngoscopy failure","continuous",FALSE,"comparator_group_size",30,TRUE,NA,TRUE,"FN"
"145",3214395,"group 1 included bispectral index (BIS) of 60, group 2 covered bispectral index (BIS) of 48","group 3 involved bispectral index (BIS) of 38","laryngoscopy failure","continuous",FALSE,"intervention_group_size",60,TRUE,NA,TRUE,"FN"
"146",3214395,"group 1 included bispectral index (BIS) of 60, group 2 covered bispectral index (BIS) of 50","group 3 involved bispectral index (BIS) of 40","awakening","continuous",FALSE,"intervention_mean",NA,TRUE,8.75,TRUE,"FP"
"147",3214395,"group 1 included bispectral index (BIS) of 60, group 2 covered bispectral index (BIS) of 50","group 3 involved bispectral index (BIS) of 40","awakening","continuous",FALSE,"intervention_standard_deviation",NA,TRUE,1.313,TRUE,"FP"
"148",3263860,"Real-Time Continuous Glucose Monitoring","Control","Diabetic ketoacidosis","binary",FALSE,"comparator_group_size",68,TRUE,72,TRUE,"FN"
"149",3263860,"Real-Time Continuous Glucose Monitoring","Control","Diabetic ketoacidosis","binary",FALSE,"intervention_group_size",69,TRUE,74,TRUE,"FN"
"150",3263860,"Real-Time Continuous Glucose Monitoring","Control","Serious skin reactions","binary",FALSE,"comparator_group_size",68,TRUE,72,TRUE,"FN"
"151",3263860,"Real-Time Continuous Glucose Monitoring","Control","Serious skin reactions","binary",FALSE,"intervention_group_size",69,TRUE,74,TRUE,"FN"
"152",3278655,"The trabecular metal tibial monoblock component (TM)","cemented component.","maximum total point motion (MTPM)","continuous",FALSE,"comparator_standard_deviation",2.27,TRUE,NA,TRUE,"FN"
"153",3278655,"The trabecular metal tibial monoblock component (TM)","cemented component.","maximum total point motion (MTPM)","continuous",FALSE,"intervention_standard_deviation",3.91,TRUE,NA,TRUE,"FN"
"154",3343759,"very early speech and language therapy (SLT)","control","aphasia types","binary",TRUE,"comparator_group_size",55,TRUE,NA,TRUE,"FN"
"155",3343759,"very early speech and language therapy (SLT)","control","aphasia types","binary",TRUE,"intervention_group_size",59,TRUE,NA,TRUE,"FN"
"156",3343759,"very early speech and language therapy (SLT)","control","communication ability","continuous",FALSE,"comparator_group_size",NA,TRUE,49,TRUE,"FP"
"157",3343759,"very early speech and language therapy (SLT)","control","communication ability","continuous",FALSE,"intervention_group_size",NA,TRUE,50,TRUE,"FP"
"158",3496170,"Biperiden","Placebo","Learned irrelevance index","continuous",TRUE,"intervention_mean",0.19,TRUE,NA,TRUE,"FN"
"159",3504298,"Face-based attentional bias modification","Placebo","Anxious symptoms","continuous",TRUE,"comparator_mean",NA,TRUE,44.1,TRUE,"FP"
"160",3504298,"Face-based attentional bias modification","Placebo","Anxious symptoms","continuous",TRUE,"comparator_standard_deviation",NA,TRUE,12,TRUE,"FP"
"161",3504298,"Face-based attentional bias modification","Placebo","Anxious symptoms","continuous",TRUE,"intervention_mean",NA,TRUE,45.3,TRUE,"FP"
"162",3504298,"Face-based attentional bias modification","Placebo","Anxious symptoms","continuous",TRUE,"intervention_standard_deviation",NA,TRUE,6.6,TRUE,"FP"
"163",3504298,"Face-based attentional bias modification","Placebo","Depressive symptoms","continuous",FALSE,"comparator_mean",NA,TRUE,4.3,TRUE,"FP"
"164",3504298,"Face-based attentional bias modification","Placebo","Depressive symptoms","continuous",FALSE,"comparator_standard_deviation",NA,TRUE,3.7,TRUE,"FP"
"165",3504298,"Face-based attentional bias modification","Placebo","Depressive symptoms","continuous",FALSE,"intervention_mean",NA,TRUE,5.9,TRUE,"FP"
"166",3504298,"Face-based attentional bias modification","Placebo","Depressive symptoms","continuous",FALSE,"intervention_standard_deviation",NA,TRUE,6.9,TRUE,"FP"
"167",3504298,"Word-based attentional bias modification","Face-based attentional bias modification","Attentional Function","continuous",TRUE,"comparator_group_size",16,TRUE,NA,TRUE,"FN"
"168",3504298,"Word-based attentional bias modification","Face-based attentional bias modification","Attentional Function","continuous",TRUE,"intervention_group_size",16,TRUE,NA,TRUE,"FN"
