id,evidence_inference_prompt_id,pmcid,outcome,intervention,comparator,outcome_type,intervention_events,intervention_group_size,comparator_events,comparator_group_size,intervention_mean,intervention_standard_deviation,comparator_mean,comparator_standard_deviation,notes,is_data_in_figure_graphics,is_relevant_data_in_table,is_table_in_graphic_format,is_data_complete,tiktoken_with_attributes_xml_token_num,tiktoken_without_attributes_xml_token_num,tiktoken_without_attributes_markdown_token_num,split
14,12634,2667135,early discontinuations,some portion of therapy outside of the hospital (CoPAT),full course of therapy in the hospital setting,binary,10.0,103.0,54.0,97.0,,,,,,False,True,False,True,11722.0,8106.0,5529.0,TEST
15,12635,2667135,rate of clinical success at the test-of-cure visit,some portion of therapy outside of the hospital (CoPAT),full course of therapy in the hospital setting,binary,89.0,103.0,54.0,97.0,,,,,,False,True,False,True,11722.0,8106.0,5529.0,TEST
16,12636,2667135,deaths,some portion of therapy outside of the hospital (CoPAT),full course of therapy in the hospital setting,binary,4.0,103.0,18.0,97.0,,,,,,False,True,False,True,11722.0,8106.0,5529.0,TEST
17,8237,2681019,Adiponectin in women,Red wine,Control,continuous,,24.0,,24.0,30.0,,-1.0,,Mean and SD in figure. Group sizes not available in results section. Group sizes somewhat unclear,True,False,False,False,726.0,647.0,543.0,FEW-SHOT
18,8238,2681019,Adiponectin in men,Ethanol solution,Control,continuous,,24.0,,24.0,17.0,,4.0,,Mean and SD in figure. Group sizes not available in results section. Group sizes somewhat unclear,True,False,False,False,726.0,647.0,543.0,FEW-SHOT
19,8239,2681019,Adiponectin in men,Beer,Control,continuous,,24.0,,24.0,16.0,,4.0,,Mean and SD in figure. Group sizes not available in results section. Group sizes somewhat unclear,True,False,False,False,726.0,647.0,543.0,FEW-SHOT
20,3246,2972614,Adverse effects,Laser therapy (Group I),Placebo laser therapy (Group II),binary,0.0,30.0,0.0,22.0,,,,,,False,False,False,True,7041.0,2968.0,1931.0,TEST
21,3243,2972614,Severity of pain,Laser therapy (Group I),Placebo laser therapy (Group II),continuous,,30.0,,22.0,3.76,1.45,4.63,2.1,,False,True,False,True,7041.0,2968.0,1931.0,TEST
22,3245,2972614,Shoulder Pain and Disability Index score,Laser therapy (Group I),Placebo laser therapy (Group II),continuous,,30.0,,22.0,48.13,22.1,40.99,20.98,,False,True,False,True,7041.0,2968.0,1931.0,TEST
23,3247,2972614,Laboratory parameters,Laser therapy (Group I),Placebo laser therapy (Group II),continuous,,30.0,,22.0,,,,,Unclear outcome and also no numerical data for this specific outcome,False,False,False,False,7041.0,2968.0,1931.0,TEST
24,3244,2972614,Motion range - Shoulder flexion,Laser therapy (Group I),Placebo laser therapy (Group II),continuous,,30.0,,22.0,168.0,22.65,174.31,14.98,Outcome originally just Motion range.,False,True,False,True,7041.0,2968.0,1931.0,TEST
25,3244,2972614,Motion range - Shoulder extension,Laser therapy (Group I),Placebo laser therapy (Group II),continuous,,30.0,,22.0,42.66,3.4,42.95,3.98,Outcome originally just Motion range.,False,True,False,True,7041.0,2968.0,1931.0,TEST
26,3244,2972614,Motion range - Shoulder abduction,Laser therapy (Group I),Placebo laser therapy (Group II),continuous,,30.0,,22.0,166.66,21.38,172.72,16.67,Outcome originally just Motion range.,False,True,False,True,7041.0,2968.0,1931.0,TEST
27,3244,2972614,Motion range - Shoulder adduction,Laser therapy (Group I),Placebo laser therapy (Group II),continuous,,30.0,,22.0,42.0,4.27,42.04,5.26,Outcome originally just Motion range.,False,True,False,True,7041.0,2968.0,1931.0,TEST
28,3244,2972614,Motion range - Shoulder internal rotation,Laser therapy (Group I),Placebo laser therapy (Group II),continuous,,30.0,,22.0,49.33,9.62,49.77,4.49,Outcome originally just Motion range.,False,True,False,True,7041.0,2968.0,1931.0,TEST
29,3244,2972614,Motion range - Shoulder external rotation,Laser therapy (Group I),Placebo laser therapy (Group II),continuous,,30.0,,22.0,44.83,5.64,44.09,1.97,Outcome originally just Motion range.,False,True,False,True,7041.0,2968.0,1931.0,TEST
30,5576,3003523,Short-Form 36-Items improvement,Certolizumab 200 mg,Control,continuous,,393.0,,199.0,38.1,9.5,31.5,7.4,Used values for PCS after 52 weeks (final timepoint).,False,True,False,True,12247.0,10091.0,7520.0,TEST
31,5577,3003523,Short-Form 36-Items improvement,Certolizumab 400 mg,Control,continuous,,390.0,,199.0,38.9,8.9,31.5,7.4,Used values for PCS after 52 weeks (final timepoint).,False,True,False,True,12247.0,10091.0,7520.0,TEST
32,5580,3003523,Pain,Certolizumab 400 mg,Control,continuous,,390.0,,199.0,53.9,22.2,34.0,20.1,Used values for weeks 52 (final timepoint).,False,True,False,True,12247.0,10091.0,7520.0,TEST
33,5575,3003523,Health-related quality of life improvement - Short-Form 36-Items improvement,Certolizumab 200 mg,Control,continuous,,393.0,,199.0,38.1,9.5,31.5,7.4,This outcome is measured by Short-Form 36-Items (SF-36).,False,False,False,True,12247.0,10091.0,7520.0,TEST
34,5578,3003523,Mental Component Summary improvement,Certolizumab 400 mg,Control,continuous,,390.0,,199.0,45.4,11.5,41.1,10.8,Used values for MCS after 52 weeks (final timepoint).,False,True,False,True,12247.0,10091.0,7520.0,TEST
35,5579,3003523,Fatigue Assessment Scale improvement,Certolizumab 200 mg,Control,continuous,,393.0,,199.0,,,,,Values are in figure.,True,False,False,False,12247.0,10091.0,7520.0,TEST
36,6988,3169777,adverse event profile - headache,macitentan dose of 600 mg,placebo,binary,5.0,6.0,3.0,14.0,,,,,"Original outcome was ""adverse events profile"". Added ""headeache"" since that is the first adverse events reported.",False,True,False,True,5143.0,4376.0,3326.0,TEST
37,6985,3169777,unexpected adverse events,macitentan doses of 0.2 mg,placebo,binary,0.0,6.0,0.0,14.0,,,,,One sentence that said no unexpected adverse events were found so values are all 0 based on this.,False,False,False,True,5143.0,4376.0,3326.0,TEST
38,6985,3169777,unexpected adverse events,macitentan doses of 1 mg,placebo,binary,0.0,6.0,0.0,14.0,,,,,One sentence that said no unexpected adverse events were found so values are all 0 based on this.,False,False,False,True,5143.0,4376.0,3326.0,TEST
39,6985,3169777,unexpected adverse events,macitentan doses of 5 mg,placebo,binary,0.0,6.0,0.0,14.0,,,,,One sentence that said no unexpected adverse events were found so values are all 0 based on this.,False,False,False,True,5143.0,4376.0,3326.0,TEST
40,6985,3169777,unexpected adverse events,macitentan doses of 25 mg,placebo,binary,0.0,6.0,0.0,14.0,,,,,One sentence that said no unexpected adverse events were found so values are all 0 based on this.,False,False,False,True,5143.0,4376.0,3326.0,TEST
41,6985,3169777,unexpected adverse events,macitentan doses of 100 mg,placebo,binary,0.0,6.0,0.0,14.0,,,,,One sentence that said no unexpected adverse events were found so values are all 0 based on this.,False,False,False,True,5143.0,4376.0,3326.0,TEST
42,6985,3169777,unexpected adverse events,macitentan doses of 300 mg,placebo,binary,0.0,6.0,0.0,14.0,,,,,One sentence that said no unexpected adverse events were found so values are all 0 based on this.,False,False,False,True,5143.0,4376.0,3326.0,TEST
43,6985,3169777,unexpected adverse events,macitentan doses of 600 mg,placebo,binary,0.0,6.0,0.0,14.0,,,,,One sentence that said no unexpected adverse events were found so values are all 0 based on this.,False,False,False,True,5143.0,4376.0,3326.0,TEST
44,6986,3169777,Plasma endothelin-1 concentrations,macitentan dose of 600 mg,placebo,continuous,,6.0,,14.0,149.0,51.0,60.0,12.0,The mean and SD are in bar chart (figure). Eyeballed from figure,True,False,False,True,5143.0,4376.0,3326.0,TEST
45,6989,3169777,adverse event profile - headache,macitentan doses of 0.2 mg,placebo,binary,0.0,6.0,3.0,14.0,,,,,"Original outcome was ""adverse events profile"". Added ""headeache"" since that is the first adverse events reported.",False,True,False,True,5143.0,4376.0,3326.0,TEST
46,6989,3169777,adverse event profile - headache,macitentan doses of 1 mg,placebo,binary,0.0,6.0,3.0,14.0,,,,,"Original outcome was ""adverse events profile"". Added ""headeache"" since that is the first adverse events reported.",False,True,False,True,5143.0,4376.0,3326.0,TEST
47,6989,3169777,adverse event profile - headache,macitentan doses of 5 mg,placebo,binary,0.0,6.0,3.0,14.0,,,,,"Original outcome was ""adverse events profile"". Added ""headeache"" since that is the first adverse events reported.",False,True,False,True,5143.0,4376.0,3326.0,TEST
48,6989,3169777,adverse event profile - headache,macitentan doses of 25 mg,placebo,binary,2.0,6.0,3.0,14.0,,,,,"Original outcome was ""adverse events profile"". Added ""headeache"" since that is the first adverse events reported.",False,True,False,True,5143.0,4376.0,3326.0,TEST
49,6989,3169777,adverse event profile - headache,macitentan doses of 100 mg,placebo,binary,1.0,6.0,3.0,14.0,,,,,"Original outcome was ""adverse events profile"". Added ""headeache"" since that is the first adverse events reported.",False,True,False,True,5143.0,4376.0,3326.0,TEST
50,6989,3169777,adverse event profile - headache,macitentan doses of 300 mg,placebo,binary,2.0,6.0,3.0,14.0,,,,,"Original outcome was ""adverse events profile"". Added ""headeache"" since that is the first adverse events reported.",False,True,False,True,5143.0,4376.0,3326.0,TEST
51,5308,3195393,Continuous restraint,After restraint reduction program,Before restraint reduction program,continuous,,562.0,,463.0,8.5,0.07,10.8,0.13,Overall continuous restraint rate for study site.,False,True,False,True,15527.0,8380.0,5589.0,TEST
52,5306,3195393,Restraint frecuency,After restraint reduction program,Before restraint reduction program,continuous,,562.0,,463.0,13.6,0.07,11.5,0.13,Added intermittent and continuous numbers from study site,False,True,False,True,15527.0,8380.0,5589.0,TEST
53,5307,3195393,Intermittent restraint,After restraint reduction program,Before restraint reduction program,continuous,,562.0,,463.0,5.1,0.07,0.7,0.02,Overall intermittent restraint rate for study site.,False,True,False,True,15527.0,8380.0,5589.0,TEST
54,5309,3195393,Restraint knowledge,After restraint reduction program,Before restraint reduction program,continuous,,562.0,,463.0,6.23,,5.51,,No SD information provided,False,False,False,False,15527.0,8380.0,5589.0,TEST
55,10673,3276927,relieving factors in reversible inguinal hernia,post-Yoga,pre-Yoga,continuous,,19.0,,19.0,,,,,Data found in table in graphic format. Only medians and IQR reported,False,True,True,False,2011.0,1731.0,1429.0,DEV
56,10676,3276927,effective in the treatment of reversible inguinal hernia,post-Yoga,pre-Yoga,binary,,19.0,,19.0,,,,,"No real numerical data attached to this specific outcome. Other prompts account for ""treatment""",False,False,True,False,2011.0,1731.0,1429.0,DEV
57,10672,3276927,frequency of occurrence in reversible inguinal hernia,post-Yoga,pre-Yoga,continuous,,19.0,,19.0,,,,,Only median and range is given.,False,True,True,False,2011.0,1731.0,1429.0,DEV
58,10671,3276927,"symptoms of hernia such as heaviness, fullness and pain",post-Yoga,pre-Yoga,continuous,,19.0,,19.0,,,,,No specific numerical data associated with these symptoms.,False,False,True,False,2011.0,1731.0,1429.0,DEV
59,10674,3276927,pain in reversible inguinal hernia,post-Yoga,pre-Yoga,continuous,,19.0,,19.0,,,,,Only median and range is given.,False,True,True,False,2011.0,1731.0,1429.0,DEV
60,10675,3276927,aggravating factors in reversible inguinal hernia,post-Yoga,pre-Yoga,continuous,,19.0,,19.0,,,,,Only median and range is given.,False,True,True,False,2011.0,1731.0,1429.0,DEV
61,1642,3309311,differences in the disc herniation,"adults with acute axial severe LBP who could not sit up or stand up for several days, but had not experienced previous back-related diseases or trauma (group A)","adults who had been involved in a minor traffic accident, and had mild symptoms but not limited mobility (group B)",binary,20.0,23.0,6.0,19.0,,,,,Used percentage to calculate events as binary outcome.,False,True,True,True,1437.0,1263.0,1073.0,TEST
62,1642,3309311,differences in the LDD,"adults with acute axial severe LBP who could not sit up or stand up for several days, but had not experienced previous back-related diseases or trauma (group A)","adults who had been involved in a minor traffic accident, and had mild symptoms but not limited mobility (group B)",binary,23.0,23.0,9.0,19.0,,,,,Used percentage to calculate events as binary outcome. Outcome original HDD but changed to LDD to fix typo,False,True,True,True,1437.0,1263.0,1073.0,TEST
63,1642,3309311,differences in the annulus tear,"adults with acute axial severe LBP who could not sit up or stand up for several days, but had not experienced previous back-related diseases or trauma (group A)","adults who had been involved in a minor traffic accident, and had mild symptoms but not limited mobility (group B)",binary,23.0,23.0,5.0,19.0,,,,,Used percentage to calculate events as binary outcome.,False,True,True,True,1437.0,1263.0,1073.0,TEST
64,1642,3309311,differences in the HIZ,"adults with acute axial severe LBP who could not sit up or stand up for several days, but had not experienced previous back-related diseases or trauma (group A)","adults who had been involved in a minor traffic accident, and had mild symptoms but not limited mobility (group B)",binary,14.0,23.0,4.0,19.0,,,,,Used percentage to calculate events as binary outcome.,False,True,True,True,1437.0,1263.0,1073.0,TEST
65,1644,3309311,The proportion of HIZ incidence,"adults with acute axial severe LBP who could not sit up or stand up for several days, but had not experienced previous back-related diseases or trauma (group A)",adults with LBP with radicular pain (group C),binary,14.0,23.0,3.0,18.0,,,,,Used percentage to calculate events as binary outcome.,False,False,True,True,1437.0,1263.0,1073.0,TEST
66,1643,3309311,The proportion of HIZ incidence,"adults with acute axial severe LBP who could not sit up or stand up for several days, but had not experienced previous back-related diseases or trauma (group A)","adults who had been involved in a minor traffic accident, and had mild symptoms but not limited mobility (group B)",binary,14.0,23.0,4.0,19.0,,,,,Used percentage to calculate events as binary outcome.,False,False,True,True,1437.0,1263.0,1073.0,TEST
67,3041,3321528,wrist flexion,electrical muscle stimulation (EMS),control,continuous,,24.0,,28.0,,,,,Only median and interquartile range is given.,False,True,False,False,6725.0,3999.0,2880.0,TEST
68,3041,3321528,hip flexion,electrical muscle stimulation (EMS),control,continuous,,24.0,,28.0,,,,,Only median and interquartile range is given.,False,True,False,False,6725.0,3999.0,2880.0,TEST
69,3041,3321528,knee extension,electrical muscle stimulation (EMS),control,continuous,,24.0,,28.0,,,,,Only median and interquartile range is given.,False,True,False,False,6725.0,3999.0,2880.0,TEST
70,3041,3321528,ankle dorsiflexion,electrical muscle stimulation (EMS),control,continuous,,24.0,,28.0,,,,,Only median and interquartile range is given.,False,True,False,False,6725.0,3999.0,2880.0,TEST
71,3043,3321528,handgrip strength,Intensive Care Unit acquired weakness (ICU-AW),without an ICU-AW diagnosis,continuous,,,,,6.6,4.4,23.4,8.9,Does not have group size information in article.,False,False,False,False,6725.0,3999.0,2880.0,TEST
72,3042,3321528,the total MRC score of the legs,electrical muscle stimulation (EMS),control,continuous,,24.0,,28.0,,,,,Only median and interquartile range is given.,False,False,False,False,6725.0,3999.0,2880.0,TEST
73,3741,3546023,Urine cotinine levels,200 mg/day palmvitee smokers,200 mg/day palmvitee nonsmokers,continuous,,20.0,,19.0,1.179,0.738,0.047,0.017,Values are for week 24 (only timepoint after intervention).,False,True,False,True,29733.0,18035.0,11524.0,TEST
74,3742,3546023,serum α1-antitrypsin,200 mg/day palmvitee smokers,200 mg/day palmvitee nonsmokers,continuous,,30.0,,19.0,1.75,0.39,1.45,0.24,Values are for week 24 (only timepoint after intervention).,False,True,False,True,29733.0,18035.0,11524.0,TEST
75,3743,3546023,The percentage of B cells,200 mg/day palmvitee nonsmokers,baseline,continuous,,29.0,,29.0,11.97,4.0,13.72,4.53,Values are between baseline and week 24 (final timepoint).,False,True,False,True,29733.0,18035.0,11524.0,TEST
76,3744,3546023,The percentage of B cells,200 mg/day palmvitee smokers,baseline,continuous,,30.0,,30.0,14.06,3.81,14.4,4.03,Values are between baseline and week 24 (final timepoint).,False,True,False,True,29733.0,18035.0,11524.0,TEST
77,3746,3546023,The percentage of NK cells,200 mg/day palmvitee smokers,200 mg/day palmvitee nonsmokers,continuous,,30.0,,29.0,19.03,7.82,24.72,8.78,Values are between baseline and week 24 (final timepoint).,False,True,False,True,29733.0,18035.0,11524.0,TEST
78,3740,3546023,tocopherol levels,200 mg/day palmvitee smokers,baseline,continuous,,30.0,,30.0,14.11,3.89,11.39,3.06,Values are between baseline and week 24 (final timepoint).,False,True,False,True,29733.0,18035.0,11524.0,TEST
79,3740,3546023,tocotrienol levels,200 mg/day palmvitee smokers,baseline,continuous,,30.0,,30.0,587.68,87.5,59.49,4.21,Values are between baseline and week 24 (final timepoint).,False,True,False,True,29733.0,18035.0,11524.0,TEST
80,3740,3546023,tocopherol levels,200 mg/day palmvitee nonsmokers,baseline,continuous,,29.0,,29.0,14.56,3.06,11.75,2.27,Values are between baseline and week 24 (final timepoint).,False,True,False,True,29733.0,18035.0,11524.0,TEST
81,3740,3546023,tocotrienol levels,200 mg/day palmvitee nonsmokers,baseline,continuous,,29.0,,29.0,675.16,150.0,63.6,5.67,Values are between baseline and week 24 (final timepoint).,False,True,False,True,29733.0,18035.0,11524.0,TEST
82,3745,3546023,CD4+/CD8+ ratio,200 mg/day palmvitee smokers,200 mg/day palmvitee nonsmokers,continuous,,30.0,,29.0,1.19,0.43,1.03,0.53,Values are for week 24 (final timepoint).,False,True,False,True,29733.0,18035.0,11524.0,TEST
83,11789,3580751,mean ± SD length of hospital stay between periods 1 and 2 in patients who did not suffer from VAP,Interrupted surveillance unit A,"Continuous surveillance, unit B",continuous,,940.0,,1831.0,9.9,14.8,9.1,9.9,Values are from post-intervention.,False,False,False,True,5335.0,4760.0,3573.0,DEV
84,13566,3687098,adverse event of constipation,sitagliptin 100 mg/day,comparator agent,binary,178.0,7726.0,124.0,6885.0,,,,,Used incidence rate per 100 to get the binary events.,False,True,False,True,15196.0,10904.0,8432.0,TEST
85,13567,3687098,The incidence rates of malignancy,sitagliptin 100 mg/day,comparator agent,binary,6953.0,7726.0,6403.0,6885.0,,,,,Used incidence rate per 100 to get the binary events.,False,False,False,True,15196.0,10904.0,8432.0,TEST
86,13568,3687098,The incidence rates of pancreatitis,sitagliptin 100 mg/day,comparator agent,binary,773.0,7726.0,689.0,6885.0,,,,,Used incidence rate per 100 to get the binary events.,False,True,False,True,15196.0,10904.0,8432.0,TEST
87,13569,3687098,The incidence of the composite endpoint of rash,sitagliptin 100 mg/day,comparator agent,binary,131.0,7726.0,76.0,6885.0,,,,,Used incidence rate per 100 to get the binary events.,False,True,False,True,15196.0,10904.0,8432.0,TEST
88,13244,3751573,improvement in nursing,phase I externship program,phase II corporate-academic cooperation program,continuous,,19.0,,23.0,117.63,19.01,158.52,23.19,Used post-intervention values.,False,True,False,True,8149.0,5521.0,3635.0,DEV
89,5538,3912320,Correct response rate for 500 Hz frequency,Occupational noise,Control,continuous,,19.0,,10.0,31.9,,55.9,,In text only change from controll given for intervention. Able to infer mean for intervention,True,False,False,False,1648.0,1217.0,1015.0,TEST
90,5540,3912320,"Correct response rate for 4,000 Hz frequency",Occupational noise,Control,continuous,,19.0,,10.0,28.07,,53.07,,In text only change from controll given for intervention. Able to infer mean for intervention,True,False,False,False,1648.0,1217.0,1015.0,TEST
91,5539,3912320,"Correct response rate for 2,000 Hz frequency",Occupational noise,Control,continuous,,19.0,,10.0,30.4,,51.4,,In text only change from controll given for intervention. Able to infer mean for intervention,True,False,False,False,1648.0,1217.0,1015.0,TEST
92,10164,4173437,Postoperatively hematocrit,Tranexamic acid,Control,continuous,,30.0,,30.0,29.36,1.8,30.14,2.2,Had to infer that the group sizes were equal. Data is in table in graphic format. Post op means and sd used,False,True,True,True,854.0,745.0,637.0,TEST
93,10166,4173437,Complications,Tranexamic acid,Control,binary,0.0,30.0,0.0,30.0,,,,,Had to infer that the group sizes were equal.,False,False,True,True,854.0,745.0,637.0,TEST
94,10167,4173437,Adverse effects,Tranexamic acid,Control,binary,0.0,30.0,0.0,30.0,,,,,Had to infer that the group sizes were equal.,False,False,True,True,854.0,745.0,637.0,TEST
95,10163,4173437,Total blood loss,Tranexamic acid,Control,continuous,,30.0,,30.0,576.0,53.0,823.0,74.0,Had to infer that the group sizes were equal.,False,False,True,True,854.0,745.0,637.0,TEST
96,10165,4173437,Coagulation profile,Tranexamic acid,Control,continuous,,30.0,,30.0,,,,,Had to infer that the group sizes were equal. Data is in table in graphic format. Not one outcome measured.,False,True,True,False,854.0,745.0,637.0,TEST
97,10168,4173437,Crystalloid solution needed,Tranexamic acid,Control,continuous,,30.0,,30.0,,,,,Had to infer that the group sizes were equal. No numerical values associated with this outcome.,False,False,True,False,854.0,745.0,637.0,TEST
98,931,4183415,completion of each dose at the correct time,receive text message reminders about what advice to provide when dispensing artemether-lumefantrine (AL).,no text message,continuous,,40.0,,37.0,33.1,21.6,32.6,18.4,Data found in Table 6.,False,True,False,True,10420.0,7106.0,5310.0,TEST
99,929,4183415,patient adherence,receive text message reminders about what advice to provide when dispensing artemether-lumefantrine (AL).,no text message,continuous,,40.0,,37.0,68.3,23.4,69.8,20.9,"Data found in Table 6. Used same values as ""completed treatment""",False,True,False,True,10420.0,7106.0,5310.0,TEST
100,930,4183415,Completed treatment,receive text message reminders about what advice to provide when dispensing artemether-lumefantrine (AL).,no text message,continuous,,40.0,,37.0,68.3,23.4,69.8,20.9,Data found in Table 6.,False,True,False,True,10420.0,7106.0,5310.0,TEST
101,1886,4188762,heart rate,remifentanil,normal saline,continuous,,30.0,,30.0,,,,,"Data in figure, messed up legend",True,False,True,False,2068.0,1758.0,1564.0,TEST
102,1886,4188762,heart rate,remifentanil,lidocaine,continuous,,30.0,,30.0,,,,,"Data in figure, messed up legend",True,False,True,False,2068.0,1758.0,1564.0,TEST
103,1886,4188762,heart rate,remifentanil,ketamine,continuous,,30.0,,30.0,,,,,"Data in figure, messed up legend",True,False,True,False,2068.0,1758.0,1564.0,TEST
104,1885,4188762,mean blood pressure,remifentanil,normal saline,continuous,,30.0,,30.0,77.0,,96.0,,Data in figure,True,False,True,False,2068.0,1758.0,1564.0,TEST
105,1885,4188762,mean blood pressure,remifentanil,lidocaine,continuous,,30.0,,30.0,77.0,,92.0,,Data in figure,True,False,True,False,2068.0,1758.0,1564.0,TEST
106,1885,4188762,mean blood pressure,remifentanil,"normal saline, lidocaine, or ketamine",continuous,,30.0,,30.0,77.0,,,,Unclear compararator,True,False,True,False,2068.0,1758.0,1564.0,TEST
107,1884,4188762,withdrawal response of rocuronium,lidocaine,normal saline,binary,6.0,30.0,26.0,30.0,,,,,Used percentage to calculate events as binary outcome.,False,False,True,True,2068.0,1758.0,1564.0,TEST
108,1884,4188762,withdrawal response of rocuronium,ketamine,normal saline,binary,9.0,30.0,26.0,30.0,,,,,Used percentage to calculate events as binary outcome.,False,False,True,True,2068.0,1758.0,1564.0,TEST
109,1884,4188762,withdrawal response of rocuronium,remifentanil,normal saline,binary,0.0,30.0,26.0,30.0,,,,,Used percentage to calculate events as binary outcome.,False,False,True,True,2068.0,1758.0,1564.0,TEST
110,9521,4319071,High-energy snack intake,Individual cognition and self-regulation processes intervention,Control,continuous,,456.0,,434.0,2.5,2.79,2.84,2.71,Values are from 4-month follow up (final timepoint). Back calculated the SD values from SE.,False,True,False,True,26475.0,16822.0,9628.0,TEST
111,9522,4319071,High-energy snack intake,Intervention + targeting environmental-level factors,Control,continuous,,459.0,,434.0,2.5,2.76,2.84,2.71,Values are from 4-month follow up (final timepoint). Back calculated the SD values from SE.,False,True,False,True,26475.0,16822.0,9628.0,TEST
112,9525,4319071,Vegetable intake,Intervention + targeting environmental-level factors,Control,continuous,,459.0,,434.0,167.61,83.71,158.67,78.33,Values are from 4-month follow up (final timepoint). Back calculated the SD values from SE.,False,True,False,True,26475.0,16822.0,9628.0,TEST
113,9526,4319071,Vegetable intake,Intervention + targeting environmental-level factors,Individual cognition and self-regulation processes intervention,continuous,,459.0,,459.0,167.61,83.71,173.28,81.63,Values are from 4-month follow up (final timepoint). Back calculated the SD values from SE.,False,True,False,True,26475.0,16822.0,9628.0,TEST
114,9523,4319071,Fruit intake,Intervention + targeting environmental-level factors,Control,continuous,,459.0,,434.0,2.17,1.71,2.0,1.67,Values are from 4-month follow up (final timepoint). Back calculated the SD values from SE.,False,True,False,True,26475.0,16822.0,9628.0,TEST
115,9524,4319071,Fruit intake,Intervention + targeting environmental-level factors,Individual cognition and self-regulation processes intervention,continuous,,459.0,,459.0,2.17,1.71,2.14,1.71,Values are from 4-month follow up (final timepoint). Back calculated the SD values from SE.,False,True,False,True,26475.0,16822.0,9628.0,TEST
116,2982,4323894,Improvement in Glasgow outcome score at 6 months post-trauma,Deep-cooling,Mild-cooling,continuous,,9.0,,10.0,63.2,,70.0,,Could also be interpreted as a binary outcome . It is a rate so no SD,False,True,True,False,3049.0,2670.0,2328.0,TEST
117,2983,4323894,Improvement in Glasgow outcome score at 6 months post-trauma,Deep-cooling,No cooling,continuous,,9.0,,13.0,63.2,,15.4,,Could also be interpreted as a binary outcome . It is a rate so no SD,False,True,True,False,3049.0,2670.0,2328.0,TEST
118,2984,4323894,Rate of complications,Mild-cooling or deep-cooling,No cooling,binary,10.0,19.0,6.0,13.0,,,,,Fixed correct groupsize for intervention,False,True,True,True,3049.0,2670.0,2328.0,TEST
119,2981,4323894,Improvement in Glasgow outcome score at 6 months post-trauma,Mild-cooling,No cooling,continuous,,10.0,,13.0,70.0,,15.4,,,False,True,True,False,3049.0,2670.0,2328.0,TEST
